"准则","编号","方案名称","张伟教授","李明博士","王芳","李佳欣","聚合权重(几何平均)"
"C01","F01","专业可信度","0.5","0.5","0.5","0.5","0.5"
"C01","F16","专业知识展示","0.5","0.5","0.5","0.5","0.5"
"C02","F02","信息透明度","0.46","0.3333","0.46","0.3333","0.3959"
"C02","F03","局限性承认","0.2211","0.3333","0.2211","0.3333","0.2745"
"C02","F14","信息披露规范性","0.3189","0.3333","0.3189","0.3333","0.3296"
"C03","F04","即时反馈质量","0.46","0.6586","0.6","0.6","0.5817"
"C03","F05","情感互动强度","0.2211","0.1562","0.2","0.2","0.1951"
"C03","F18","互动反馈机制","0.3189","0.1852","0.2","0.2","0.2232"
"C04","F06","承诺体验一致性","0.5842","0.6854","0.4286","0.5278","0.5592"
"C04","F07","售后兑现能力","0.2808","0.2344","0.4286","0.3325","0.3172"
"C04","F17","个人使用体验","0.135","0.0802","0.1429","0.1396","0.1235"
"C05","F08","选品稳定性","0.25","0.2453","0.25","0.25","0.2497"
"C05","F12","机制创新能力","0.25","0.3229","0.25","0.25","0.2675"
"C05","F13","责任可追溯性","0.25","0.1864","0.25","0.25","0.2331"
"C05","F15","风险分类管理","0.25","0.2453","0.25","0.25","0.2497"
"C06","F09","信任资本积累","0.7306","0.7531","0.7306","0.7306","0.7366"
"C06","F10","外部性影响","0.1884","0.184","0.1884","0.1884","0.1874"
"C06","F11","资源配置导向","0.081","0.0629","0.081","0.081","0.076"
