"排名","编号","方案名称","主播专业可信","信息透明披露","互动回应质量","体验承诺一致","运营治理能力","长期信任资本","综合权重"
"1","F01","专业可信度","0.5","0.0","0.0","0.0","0.0","0.0","0.1722"
"2","F16","专业知识展示","0.5","0.0","0.0","0.0","0.0","0.0","0.1722"
"3","F06","承诺体验一致性","0.0","0.0","0.0","0.5592","0.0","0.0","0.0985"
"4","F02","信息透明度","0.0","0.3959","0.0","0.0","0.0","0.0","0.0984"
"5","F14","信息披露规范性","0.0","0.3296","0.0","0.0","0.0","0.0","0.0819"
"6","F03","局限性承认","0.0","0.2745","0.0","0.0","0.0","0.0","0.0682"
"7","F04","即时反馈质量","0.0","0.0","0.5817","0.0","0.0","0.0","0.0651"
"8","F07","售后兑现能力","0.0","0.0","0.0","0.3172","0.0","0.0","0.0559"
"9","F09","信任资本积累","0.0","0.0","0.0","0.0","0.0","0.7366","0.0452"
"10","F18","互动反馈机制","0.0","0.0","0.2232","0.0","0.0","0.0","0.025"
"11","F05","情感互动强度","0.0","0.0","0.1951","0.0","0.0","0.0","0.0218"
"12","F17","个人使用体验","0.0","0.0","0.0","0.1235","0.0","0.0","0.0218"
"13","F12","机制创新能力","0.0","0.0","0.0","0.0","0.2675","0.0","0.0154"
"14","F08","选品稳定性","0.0","0.0","0.0","0.0","0.2497","0.0","0.0144"
"15","F15","风险分类管理","0.0","0.0","0.0","0.0","0.2497","0.0","0.0144"
"16","F13","责任可追溯性","0.0","0.0","0.0","0.0","0.2331","0.0","0.0135"
"17","F10","外部性影响","0.0","0.0","0.0","0.0","0.0","0.1874","0.0115"
"18","F11","资源配置导向","0.0","0.0","0.0","0.0","0.0","0.076","0.0047"
